Page Source URL,Name Tag,Post Date,Message,Num. of Replies,Post URL
https://twitter.com/Microsoft/status/1783171560427139175,@RozenbergTomer,2h,Harnessing the power of AI for social good is truly inspiring.,0,/RozenbergTomer/status/1783173306754965997
https://twitter.com/Microsoft/status/1783171560427139175,@gamergdotone,2h,Fluff piece about climate.. Try harder.,0,/gamergdotone/status/1783179367209644212
https://twitter.com/Microsoft/status/1783171560427139175,@StudyShark_,2h,"Rinki Gupta's work is inspiring.

By using AI for social good, she's making a big difference for those in India's high-risk climate areas",0,/StudyShark_/status/1783178478029857180
https://twitter.com/Microsoft/status/1783171560427139175,@Tehreer_Ahmed,2h,Appreciating,0,/Tehreer_Ahmed/status/1783172148120404057
https://twitter.com/Microsoft/status/1783171560427139175,@Tehreer_Ahmed,2h,She is doing a great job,0,/Tehreer_Ahmed/status/1783172182698250396
https://twitter.com/Microsoft/status/1783171560427139175,@kumar87073,2h,@ECISVEEP,1,/kumar87073/status/1783172082614038779
https://twitter.com/Microsoft/status/1782854454707941575,@iluyimbazi,23h,That greatly explains why I am the way I am.,0,/iluyimbazi/status/1782855433427796126
https://twitter.com/Microsoft/status/1782854454707941575,@Mueez999,23h,"Video games boost problem-solving skills, gamers absorb information quickly and make accurate decisions faster.",0,/Mueez999/status/1782854649558573362
https://twitter.com/Microsoft/status/1782854454707941575,@Mueez999,23h,"Kids who play video games tend to have better hand-eye coordination, a better memory, and better problem solving skills.",0,/Mueez999/status/1782854648015012051
https://twitter.com/Microsoft/status/1782854454707941575,@andreaswinsnes,22h,"Bethesda, your gaming company, has turned ESO into a woke and disgusting game, so now I’m having X as my preferred online “game”. Anti-woke IRL now, just to prove that woke propaganda backfires. If I had better online games, I would not have had time for politics.",0,/andreaswinsnes/status/1782876941495702015
https://twitter.com/Microsoft/status/1782854454707941575,@KerBob97,21h,"Is it only available in Mexico and UK?

Any ETA on US availability, or how to make available through schools in US?",0,/KerBob97/status/1782890531846013339
https://twitter.com/Microsoft/status/1782854454707941575,@RantCell,10h,Progressive!,0,/RantCell/status/1783052217043575051
https://twitter.com/Microsoft/status/1782854454707941575,@lrmquistou,9h,"Microsoft locked me out my 20yo email because someone else tried to log on it. I have filled a automated recovery form from the same computer I used for the last 4 years, which is the only option to get my email back, several times with no luck.",1,/lrmquistou/status/1783073594588721300
https://twitter.com/Microsoft/status/1782854454707941575,@kiranjoza,23h,"Looks great!

Is @EducationScot planning to do anything to help schools obtain Game Pass for learners?",0,/kiranjoza/status/1782856591886221760
https://twitter.com/Microsoft/status/1782854454707941575,@GravesRubi77374,23h,"Finally, an excuse to tell my parents gaming's an educational activity! Move over textbooks, it's time for some Xbox Field Trips!",0,/GravesRubi77374/status/1782855103692579085
https://twitter.com/Microsoft/status/1782854454707941575,@Ibepeepin,22h,"Also, like how do I be myself and have them understand me lol?? It’s like I’m speaking xbl to them lol",0,/Ibepeepin/status/1782879784214683833
https://twitter.com/Microsoft/status/1782854454707941575,@iluyimbazi,23h,That greatly explains why I am the way I am.,0,/iluyimbazi/status/1782855433427796126
